Altium Designer Pick and Place Locations
D:\Work\git\ku-green-electronics\mainboad-kugreen\Project Outputs for mainboad-kugreen\Pick Place for mainboard-kugreen.txt

========================================================================================================================
File Design Information:

Date:       17/03/20
Time:       00:44
Revision:   fb1ea81bd8c404a2a5dc3a19fe48341c31dad724
Variant:    No variations
Units used: mil

Designator     Footprint                           Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Rotation 
U6             SOT-223_M                           6988.189      2685.039      6988.189   2685.039   6872.048   2775.590   360      
R33            RES_0603_1608                       6145.670      2683.071      6145.670   2683.070   6145.670   2708.662   270      
ON             0805_A                              6228.346      2681.103      6228.346   2681.102   6228.346   2639.764   90       
U5             LFUS-SOT23-3_V                      6440.945      4318.898      6440.945   4318.898   6403.544   4273.820   90       
U4             D0014A_N                            6791.338      3303.150      6791.339   3303.150   6641.338   3195.866   90       
U3             LTST-LTV-847S_V                     4086.614      2791.339      4086.614   2791.339   3736.614   2614.174   90       
U2             LTST-LTV-847S_V                     5468.504      2799.213      5468.504   2799.213   5118.504   2622.048   90       
U1             KTT0005B_M                          7401.575      1987.205      7401.575   2027.559   7267.716   1779.528   90       
TXD            0805_A                              6484.252      2679.134      6484.252   2679.134   6484.252   2637.796   90       
S*1            ZE07-CO                             5543.307      3566.929      5043.307   3161.417   5094.488   3614.174   360      
RXD            0805_A                              6409.008      2679.134      6409.008   2679.134   6409.008   2637.796   90       
R32            RES_0603_1608                       4757.756      3750.512      4757.756   3750.512   4732.166   3750.512   360      
R31            RES_0603_1608                       4757.756      3588.464      4757.756   3588.464   4732.166   3588.464   360      
R30            RES_0603_1608                       4757.756      3669.488      4757.756   3669.488   4732.166   3669.488   360      
R29            RES_0603_1608                       7572.717      3022.952      7572.717   3022.953   7547.126   3022.952   360      
R28            RES_0603_1608                       7572.717      2941.930      7572.717   2941.929   7547.126   2941.930   360      
R27            RES_0603_1608                       7572.717      3185.000      7572.717   3185.000   7547.126   3185.000   360      
