Altium Designer Pick and Place Locations
D:\Work\git\ku-green-electronics\mt-kgreen-01\Project Outputs for mt-kgreen-01\Pick Place for mt-kugreen-01.txt

========================================================================================================================
File Design Information:

Date:       17/03/20
Time:       00:16
Revision:   fcc1fc081e956c65320cf63aa725d0c3a141ff56
Variant:    No variations
Units used: mil

Designator Footprint              Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Rotation 
S*1        ZE07-CO                1819.881      1207.677      1414.370   1707.677   1867.126   1656.496   270      
L1         WE-HCI-1365            958.661       433.070       958.661    433.071    1165.354   433.070    180      
U5         D0014A_N               2600.394      1824.802      2600.394   1824.803   2450.394   1717.518   90       
IC2        SOIC127P600X175-8N     1923.228      1226.378      1923.228   1226.378   1848.228   1119.606   90       
U6         LFUS-SOT23-3_V         1356.102      1606.301      1356.102   1606.300   1401.180   1643.702   180      
TXD        0805_A                 2132.874      610.239       2132.874   610.237    2132.874   568.900    90       
RXD        0805_A                 2207.676      610.239       2207.677   610.237    2207.676   568.900    90       
U3         ME3SO2                 2837.598      1207.676      2649.606   1395.668   2649.606   1395.668   270      
D2         DIOM7958X256N          606.300       1874.016      606.299    1874.016   748.032    1874.016   180      
D1         DIOM7958X256N          1059.055      1874.016      1059.055   1874.016   917.322    1874.016   360      
IC3        SOP65P640X120-16N      2234.251      1230.315      2234.252   1230.315   2144.684   1114.646   90       
U2         NHL0014B_V_Pae         1688.975      531.497       1688.976   531.496    1614.172   590.552    0        
U1         MF05A_M                1259.841      659.450       1259.842   659.448    1307.086   696.852    180      
U4         KTT0005B_M             1081.693      1015.748      1041.339   1015.748   1289.370   881.890    180      
U7         SOT-223_M              1187.008      1322.835      1187.008   1322.835   1303.150   1413.386   180      
J2         HDR1X3                 3366.142      1405.512      3366.141   1505.511   3366.142   1505.512   270      
ON         0805_A                 1984.252      610.238       1984.252   610.236    1984.252   568.900    90       
DEBUG      0805_A                 2058.070      610.239       2058.071   610.237    2058.070   651.578    270      
IC1        QFP50P900X900X120-48N  2859.253      564.960       2859.252   564.961    2692.402   673.228    0        
P4         61301011121            1787.402      275.590       1787.402   275.591    1337.402   275.590    360      
P3         61301011121            1787.402      1866.142      1787.402   1866.142   1337.402   1866.142   360      
P2         61300611121            2813.976      250.002       2813.976   250.000    2563.976   250.002    360      
P1         61000621121            3003.935      1803.150      3003.937   1803.150   2897.636   1903.150   270      
C2         CAPC1608X95X40NL15T15  2690.946      1105.552      2690.945   1105.553   2665.356   1105.552   360      
R16        RES_0603_1608          2092.598      872.914       2092.598   872.913    2092.598   847.324    90       
R11        RES_0603_1608          1687.480      872.914       1687.480   872.913    1687.480   847.324    90       
C29        CAP_1206_3216_-_1.8MM  1671.259      1218.504      1671.260   1218.504   1728.346   1218.504   180      
J1         39-30-1040             777.559       1543.307      122.047    1543.307   669.292    1460.630   270      
C10        PNSC-EEE-1HA221P_L     380.905       665.354       380.906    665.354    228.346    665.354    360      
C9         PNSC-EEE-1HA221P_L     377.953       1118.110      377.953    1118.110   225.394    1118.110   360      
R17        RES_0603_1608          1522.638      873.032       1522.638   873.032    1522.638   847.442    90       
R13        RES_0603_1608          2173.622      872.914       2173.622   872.913    2173.622   847.324    90       
R9         RES_0603_1608          1849.526      872.914       1849.527   872.913    1849.526   847.324    90       
R8         RES_0603_1608          1768.504      872.914       1768.504   872.913    1768.504   847.324    90       
R7         RES_0603_1608          1447.834      873.032       1447.835   873.032    1447.834   847.442    90       
C8         CAPC1608X95X40NL15T15  2690.946      1036.314      2690.945   1036.315   2665.356   1036.314   360      
C7         CAPC1608X95X40NL15T15  2690.946      968.944       2690.945   968.945    2665.356   968.944    360      
C22        CAP_0603_1608          1917.756      1518.387      1917.756   1518.386   1917.756   1544.962   270      
C20        CAP_0603_1608          1676.338      1514.449      1676.339   1514.449   1676.338   1487.874   90       
C18        CAP_0603_1608          962.597       502.952       962.599    502.953    989.172    502.952    180      
D4         MCC-SOD123_V           2349.408      875.000       2349.409   875.000    2349.408   810.500    90       
D3         MCC-SOD123_V           954.200       593.504       954.202    593.504    889.700    593.504    0        
R15        RES_0603_1608          2011.574      872.914       2011.575   872.913    2011.574   847.324    90       
R14        RES_0603_1608          2254.644      872.914       2254.646   872.913    2254.644   847.324    90       
R10        RES_0603_1608          1606.456      872.914       1606.457   872.913    1606.456   847.324    90       
R12        RES_0603_1608          1930.550      872.914       1930.551   872.913    1930.550   847.324    90       
C11        NIC-CAPA2-8X10_V       1185.040      1519.685      1185.039   1519.685   1185.040   1647.638   270      
C14        CAPC3216X229X50LL20T25 599.528       344.111       599.527    344.110    599.528    292.930    90       
C13        CAPC3216X229X50LL20T25 504.598       344.111       504.598    344.110    504.598    292.930    90       
C12        CAPC3216X229X50LL20T25 409.670       344.111       409.669    344.110    409.670    292.930    90       
R3         RES_0603_1608          2468.505      1304.962      2468.504   1304.961   2442.914   1304.962   360      
R2         RES_0603_1608          2468.505      1223.936      2468.504   1223.937   2442.914   1223.936   360      
R19        RES_0603_1608          2515.746      507.874       2515.748   507.874    2515.746   482.284    90       
R18        RES_0603_1608          2446.850      505.906       2446.851   505.906    2446.850   480.316    90       
C17        CAPC1608X95X40NL15T15  2775.588      330.708       2775.591   330.709    2801.178   330.708    180      
C16        CAPC1608X95X40NL15T15  2872.046      811.024       2872.045   811.023    2846.456   811.024    360      
C15        CAPC1608X95X40NL15T15  3125.984      501.970       3125.984   501.971    3125.984   527.560    270      
C6         CAPC1608X95X40NL15T15  2690.946      901.574       2690.945   901.575    2665.356   901.574    360      
C4         CAPC1608X95X40NL15T15  2690.947      1242.364      2690.945   1242.365   2665.356   1242.364   360      
C1         CAPC1608X95X40NL15T15  1413.386      450.788       1413.386   450.787    1413.386   425.198    90       
C30        CAP_0603_1608          1659.449      1320.866      1659.449   1320.866   1686.024   1320.866   180      
C28        CAP_0603_1608          2246.062      1517.717      2246.063   1517.717   2246.062   1491.142   90       
C27        CAP_0603_1608          2327.086      1517.717      2327.087   1517.717   2327.086   1491.142   90       
C26        CAP_0603_1608          2165.040      1517.717      2165.040   1517.717   2165.040   1491.142   90       
C25        CAP_0603_1608          2002.992      1517.717      2002.992   1517.717   2002.992   1491.142   90       
C24        CAP_0603_1608          2084.016      1517.717      2084.016   1517.717   2084.016   1491.142   90       
C23        CAP_0603_1608          1836.732      1518.387      1836.732   1518.386   1836.732   1491.812   90       
C21        CAP_0603_1608          1600.394      1513.781      1600.394   1513.780   1600.394   1540.356   270      
C19        CAP_0603_1608          1757.362      1514.449      1757.362   1514.449   1757.362   1487.874   90       
C5         CAPC1608X95X40NL15T15  1342.520      450.788       1342.519   450.788    1342.520   425.198    90       
C3         CAPC1608X95X40NL15T15  2690.947      1175.436      2690.945   1175.438   2716.538   1175.436   180      
R6         RES_0603_1608          2468.505      1061.890      2468.504   1061.890   2442.914   1061.890   360      
R5         RES_0603_1608          2468.505      980.868       2468.504   980.867    2442.914   980.868    360      
R4         RES_0603_1608          2468.505      899.844       2468.504   899.843    2442.914   899.844    360      
R1         RES_0603_1608          2468.505      1142.914      2468.504   1142.914   2442.914   1142.914   360      
